ExpID;MeasureDate;PlantID;VarietyID;LightID;NitrogenID;LeafNo;EA_degree;LA_cm2
GH1;10.05.2017;227;A;H;H;4;5.19482572;1170.721681
GH1;10.05.2017;227;A;H;H;5;-71.74379459;1242.99811
GH1;10.05.2017;227;A;H;H;6;-74.38520945;1145.473066
GH1;10.05.2017;227;A;H;H;7;-76.74987947;1043.667191
GH1;10.05.2017;227;A;H;H;8;-66.06147079;1246.644591
GH1;10.05.2017;227;A;H;H;9;-69.54200505;1085.806165
GH1;10.05.2017;227;A;H;H;10;-74.24907457;1003.683395
GH1;10.05.2017;227;A;H;H;11;-76.18570921;853.100501
GH1;10.05.2017;227;A;H;H;12;-68.54327584;848.9267671
GH1;10.05.2017;227;A;H;H;13;-68.93723055;668.9319862
GH1;10.05.2017;227;A;H;H;14;-79.39878996;790.4198355
GH1;10.05.2017;227;A;H;H;15;-74.49139417;654.3699535
GH1;10.05.2017;227;A;H;H;16;-72.12288943;778.3390732
GH1;10.05.2017;227;A;H;H;17;-63.76663658;614.5962797
GH1;10.05.2017;227;A;H;H;18;-57.57323706;808.3437314
GH1;10.05.2017;227;A;H;H;19;-36.29648278;872.4619487
GH1;10.05.2017;227;A;H;H;20;-41.41446877;600.8224873
GH1;10.05.2017;227;A;H;H;21;-51.68955858;653.3205919
GH1;10.05.2017;227;A;H;H;22;-46.50964552;587.2358085
GH1;10.05.2017;227;A;H;H;23;-47.48094642;505.8199307
GH1;10.05.2017;227;A;H;H;24;-49.79194494;440.6678789
GH1;10.05.2017;227;A;H;H;25;-39.58084703;310.8430196
GH1;10.05.2017;227;A;H;H;26;-64.02785595;329.6272311
GH1;10.05.2017;227;A;H;H;27;-31.64537213;134.1346347
GH1;10.05.2017;227;A;H;H;28;-26.20378282;65.08100412
GH1;10.05.2017;228;A;H;H;2;-6.157373047;319.0799867
GH1;10.05.2017;228;A;H;H;3;-34.29840778;760.9888677
GH1;10.05.2017;228;A;H;H;4;3.642747358;763.8200912
GH1;10.05.2017;228;A;H;H;5;40.06819608;628.3121013
GH1;10.05.2017;228;A;H;H;6;-70.85827773;1219.922792
GH1;10.05.2017;228;A;H;H;7;-35.64228306;1177.175879
GH1;10.05.2017;228;A;H;H;8;-58.20033878;1045.040799
GH1;10.05.2017;228;A;H;H;9;-66.69485158;1216.887787
GH1;10.05.2017;228;A;H;H;10;-76.74476787;1246.611864
GH1;10.05.2017;228;A;H;H;11;-71.55967647;781.4939281
GH1;10.05.2017;228;A;H;H;12;-72.81372918;953.3218927
GH1;10.05.2017;228;A;H;H;13;-49.00930546;716.179873
GH1;10.05.2017;228;A;H;H;14;-85.38732199;827.9404876
GH1;10.05.2017;228;A;H;H;15;-62.31772959;996.8985502
GH1;10.05.2017;228;A;H;H;16;-63.77629738;779.115697
GH1;10.05.2017;228;A;H;H;17;-63.23101233;813.655868
GH1;10.05.2017;228;A;H;H;18;-59.85173614;714.6378303
GH1;10.05.2017;228;A;H;H;19;-58.7802905;846.1019799
GH1;10.05.2017;228;A;H;H;20;-38.80154764;579.4907855
GH1;10.05.2017;228;A;H;H;21;-58.27722371;562.903439
GH1;10.05.2017;228;A;H;H;22;-42.37961193;540.3414051
GH1;10.05.2017;228;A;H;H;23;-45.56531828;514.3750452
GH1;10.05.2017;228;A;H;H;24;-75.93490376;452.3460436
GH1;10.05.2017;228;A;H;H;25;-67.03180687;279.7145598
GH1;10.05.2017;228;A;H;H;26;-40.23977952;252.6137365
GH1;10.05.2017;228;A;H;H;27;-50.62312441;138.2869212
GH1;10.05.2017;228;A;H;H;28;-31.13837648;45.06538859
GH1;10.05.2017;304;A;L;H;1;-31.19357142;183.3565269
GH1;10.05.2017;304;A;L;H;2;35.03767556;915.9502945
GH1;10.05.2017;304;A;L;H;3;-13.74737837;454.0652459
GH1;10.05.2017;304;A;L;H;4;-58.01494931;726.3135225
GH1;10.05.2017;304;A;L;H;5;-61.9807284;767.5973935
GH1;10.05.2017;304;A;L;H;6;-71.71793595;834.4934382
GH1;10.05.2017;304;A;L;H;7;-59.95111626;958.6906552
GH1;10.05.2017;304;A;L;H;8;-64.42178925;957.8552724
GH1;10.05.2017;304;A;L;H;9;-75.02315782;1072.618472
GH1;10.05.2017;304;A;L;H;11;-71.32446434;1088.649479
GH1;10.05.2017;304;A;L;H;12;-72.39305241;1022.406748
GH1;10.05.2017;304;A;L;H;13;-72.09221019;826.6971207
GH1;10.05.2017;304;A;L;H;14;-65.00216196;837.8022892
GH1;10.05.2017;304;A;L;H;15;-78.51483722;589.5884471
GH1;10.05.2017;304;A;L;H;16;-82.03690891;568.7949934
GH1;10.05.2017;304;A;L;H;17;-64.70763257;591.1611147
GH1;10.05.2017;304;A;L;H;18;-81.74763611;453.7943803
GH1;10.05.2017;304;A;L;H;19;-67.23481965;418.516886
GH1;10.05.2017;304;A;L;H;20;-72.77133661;405.1022096
GH1;10.05.2017;304;A;L;H;21;-64.44231409;555.4082587
GH1;10.05.2017;304;A;L;H;22;-65.62575777;583.3877107
GH1;10.05.2017;304;A;L;H;23;-69.98234265;536.6002561
